Name,Price,Depreciation,Reg_Date,Total_Days_COE,M_Date,Mileage ,Transmission,Engine_Cap,Road_Tax,Power,CurbWeight,features,accessories,description,coe,omv,arf,deregValue,noOfOwners,typeOfVeh,category,availability
Toyota Vios 1.5A E,65800,8410,26-Oct-15,2502,2015,"63,000 km ",Auto,1497,684,80.0 kW (107 bhp) View specs of the Toyota Vios (2013-2017),1045,"In-Line 4 Cylinder 16 Valves VVT-i Engine. 7 Speed CVT Transmission. Dual Airbags, Auto Climate Control Aircon. Traction Control.","Factory Fitted Sports Rim, Black Leather Upholstery, Side Mirror Indicator, Halogen Headlamps, Fog Lamps, Reverse Sensor.","Interest Rate From 1.98%. 3k Drive Away, 1 Owner, Not Uber Or Grab Car. Up To 90% Loan! Flexible Repayment With In House Financing. Perfect Match Black On Black Interior. Accident Free Unit, Still Under Agent Warranty. Flexible Loan Available. Call And Find Out More On This Huge Savings Unit.",56001,15966,15966,50454,1,Mid-Sized Sedan,PARF Car,TRUE
Honda Vezel 1.5A X Honda Sensing,63800,8040,27-Apr-16,2688,2015,"32,123 km ",Auto,1496,682,96.0 kW (128 bhp) View specs of the Honda Vezel (2014),1190,1.5L 4 Cylinder Inline DOHC I-VTEC Earth Dream Engine. SRS Airbags. Honda Sensing. Multi Function Steering Wheel. Econ Mode. Keyless Engine And Star.,"New Leather Seat Reverse Sensors 16"" Rims, Auto Headlights/LED DRL, Auto Fold Mirrors Pioneer Dvd Reverse Camera And Sensor","10% Down Payment Lowest On The Market, Lowest Depreciation, Low Mileage Done, Well Maintained By Previous Owner! Immaculate And Pristine Condition! No Repairs Needed! Fuel Economy And Low Maintained, In House Loan Flexible Available!",45504,19110,9110,40381,2,SUV,PARF Car,TRUE
Audi A5 Sportback 2.0A TFSI Quattro,47800,13970,15-Dec-10,731,2010,"114,325 km ",Auto,1984,1194,155.0 kW (207 bhp) View specs of the Audi A5 Coupe (2008-2012),1615,"Powerful 2.0L TFSI Turbocharged, 6 Speed S-Tronic Auto, 207BHP, 6XSRS Airbags, 4XABS Disc Brake, ESP, Multi Function Steering Control, Keyless Start.","New Sports Rims, 2 x Electric Memory Seats, LED Day Running Lights, Auto Lights/Rain Sensors, Parking Assist, Knockdown Rear Seats, BT, Fog Lights.","100% Guaranteed Accident Free, Brand New Gearbox, Brand New $20K Wear And Tear Parts Replaced With Receipts Proof, 80% Loan At 2.28%, Guaranteed Loan For Bad Credit/Ex-Bankruptcy, View After Lunch Till 11PM Daily, Please Call To Arrange Viewing.",46001,39564,39564,32964,2,Luxury Sedan,PARF Car,TRUE
Lamborghini Gallardo LP550-2 SLE,368000,112400,28-Feb-11,804,2011,"23,000 km ",Manual,5204,5834,405.0 kW (543 bhp) View specs of the Lamborghini Gallardo,1500,Singapore Limited Edition Model. Only 10 Produced In The World. Collector's Item With The Lucky Number 6 Edition. Pristine Condition. Low Mileage.,"Only Gallardo In Singapore With Scissors Doors! Comes With Kreissieg Exhaust With Remote Valve Control, Full CF And Alcantara Interior And Exterior.","Gallardo With Full Specifications That Comes With 4 Points Harness, Crash Bar, Bucket Seats, Clear CF Engine Cover, Full Alcantara And CF Interior. Over $20K Spent To Replace Wear And Tear Parts In 2018, Including New Clutch. Drive Till End Of COE With Peace Of Mind. This Car Is Definitely For You If You Want To Stand Out From The Crowd. The Car Is So Unique It Was Even Featured On TV!",69000,238986,238986,158647,2,Sports Car,"PARF Car, Direct Owner Sale, Rare & Exotic, Low Mileage Car",TRUE
BMW 3 Series 316i Sport,68800,13970,18-Jan-13,1494,2012,"80,000 km ",Auto,1598,742,100.0 kW (134 bhp) View specs of the BMW 3 Series Sedan (2012-2018),1405,"134Bhp 1.6L 4 Cylinder Turbo Engine, 13.6Km/L Fuel Consumption, Smooth 8 Speed ZF Gearbox, Keyless Entry.","Bluetooth Telephone, Sports Rims, Electric Seats, Rear Aircon, Parking Sensors, Knockdown Rear Seats, Automatic Retractable Side Mirrors.","Optional 3535 Number Plate. High OMV. M3 Style Dual Slate Kidney Grill, Added Red And Silver Trimmings On Interior. Wear And Tear Parts Recently Done. Aluminium Charge Pipe Replacing Stock Plastic Which Cracks.",92100,33066,23066,53895,2,Luxury Sedan,"PARF Car, Direct Owner Sale",TRUE
Infiniti Q50 2.0T Premium,143800,13350,16-Mar-18,3377,2017,"6,800 km",Auto,1991,1202,155.0 kW (207 bhp) View specs of the Infiniti Q50 (2014),1644,"2.0L 4 Cylinders Inline 16 Valve Turbocharged Engine By Mercedes, 7 Speed Transmission, Dual Touch Screen Display, 6 Airbags, 0 To 100Km/H In 7.2s.","Navi, Cruise Control, Keyless Engine Start, 2CH DVR, 360Â° Bird View Camera, All Around Sensors, Rear Aircon, LED Headlights, 18"" Sports Rims With RFT.","Only One Pearl White 2018 In Market With High ARF $40390. Well Kept 3 Years Warranty And 3 Years Servicing By Wearnes Till 15th March 2021. Accident-Free With Original Pearl White In Black Leather. 18"" Rims With GPS. Powerful 211BHP With 350Nm, Fuel Efficiency 13.7Km/L, Smooth And Refined Performance. Only Low Cash Down Payment. Come Offer And Viewing Don't Miss Like New.",39903,34564,40390,67244,1,Luxury Sedan,"PARF Car, Direct Owner Sale, Almost New Car, Low Mileage Car",TRUE
Honda Odyssey 2.4A EXV-S,94000,13530,26-Aug-14,2077,2014,"46,000 km ",Auto,2356,1630,129.0 kW (172 bhp) View specs of the Honda Odyssey (2014),1855,"Standard EXV-S From Kah Motors. 18"" Sports Rims. New Battery And Aircon Servicing Just Done.",1st And 2nd Owner Are Company Director.,"Free Maintenance, Servicing And Grooming With Kah Till 80k Km. No Worries, Warranty Till August 2019. Lowest Mileage In The Market. No Agents.",65700,29743,33641,62707,3,MPV,"PARF Car, Direct Owner Sale",TRUE
BMW X5 xDrive35i,188500,21920,27-Aug-15,2443,2014,"23,000 km ",Auto,2979,2362,225.0 kW (301 bhp) View specs of the BMW X5 (2014-2018),2030,"3.0L 6 Cylinder Inline Twin Power Turbocharged Engine, Producing 301Bhp, 8 Speed Automatic Transmission With Paddle Shifter, AWD, Cruise Control, ABS.","Adaptive LED Headlights, Factory Fitted Sound System, Bluetooth, GPS, Surround View Camera And Sensors, Auto Tailgate, Comfort Access.","Agent Unit With Agent Warranty! 1 Owner! Very Low Mileage! Supreme Condition! Very Well Maintained By Previous Owner! Rare Driven And Parked In Door. 7 Seaters Sporty Looking SUV, Flexible In House Loan Available And Trade In Available! Call Now To View!",62140,61676,83017,103939,1,SUV,"PARF Car, Low Mileage Car",TRUE
Lamborghini Huracan LP610-4,798000,68340,10-Feb-17,2977,2014,"15,132 km ",Auto,5204,5834,449.0 kW (602 bhp) View specs of the Lamborghini Huracan (2014),1532,Naturally Aspirated V10 Engine Producing 610CV And 560NM Of Torque. 0 To 100Km/H In 3.2s With Max Speed 325Km/H. 7 Speed Dual Clutch Gearbox.,"Lamborghini Dynamic Steering, Lifter, Magneto Suspension, Front And Rear Parking Sensors With Rear Camera, Navigation, Bluetooth Preparation And More.","Pristine Condition, 1 Owner, Fitted With Factory Aero Kit, Exterior Paint In Bianco Icarus With Sportivo Interior In Alcantara With Orange Stitching. Factory Warranty Till July 2019, Call To Inquire More Information And Arrange For Viewing.",54901,282270,480086,404888,1,Sports Car,"PARF Car, Rare & Exotic, Premium Ad Car, Low Mileage Car",TRUE
Honda Odyssey 2.4A EXV-S,106900,13340,5-Oct-15,2481,2015,"30,900 km ",Auto,2356,1630,129.0 kW (172 bhp) View specs of the Honda Odyssey (2014),1855,"Powered By 2.4L 4 Cylinder Inline 16 Valve DOHC I-VTEC. 6 Airbags, Traction Control, Multi Function Steering, Keyless Entry, Auto LED Headlights.",Sunroof. Cruise Control. With In-car Front And Back Camera (BlackVue). V-Cool Solar Film. Original Floormat. Kahshield Applied.,"Low Mileage! No Accidents! Buyer Will Get New Number Plate As I'm Retaining The Number. Parked In Shade. KAH Motors Extended Warranty (5 Years) And FOC Servicing (3 Years Or 60,000km). Fully Serviced By KAH Motors. Loan Is Available If Needed.",60001,28590,32026,64902,1,MPV,"PARF Car, Direct Owner Sale, Low Mileage Car",TRUE
