Name,Price,Depreciation,Reg_Date,Total_Days_COE,M_Date,Mileage ,Transmission,Engine_Cap,Road_Tax,Power,CurbWeight,features,accessories,description,coe,omv,arf,deregValue,noOfOwners,typeOfVeh,category,availability
Toyota Camry 2.5A,82800,11140,24-Dec-14,2200,2014,"94,200 km ",Auto,2494,1792,133.0 kW (178 bhp) View specs of the Toyota Camry (2012-2015),1470,"Powerful 4 Cylinders Inline DOHC Dual VVT-I Engine, 6 Speed Super ECT Gearbox, 4 Airbags, Smart Key Features, HID Headlamps, Auto Aircon.","Sports Rims, Fog Lamps, Reverse Sensors With Camera Screen, Bluetooth, LCD Monitor, Built In Camry Entertainment System, Leather Seats, Folding Mirror",Extremely Popular Japanese Luxury Sedan! Enjoy Power With Good Fuel Economy Coming From It's 2.5L VVT-i Engine!,70890,28027,31238,66196,1,Luxury Sedan,"PARF Car, Direct Owner Sale",TRUE
Honda Stepwagon 1.5A Spada,102800,12420,14-Jan-16,2585,2015,"34,000 km ",Auto,1496,682,110.0 kW (147 bhp),1700,"Powered By Honda's Reliable Yet Powerful 1.5L 4-cylinder In-line 16-valve DOHC Turbocharged Engine, Smooth CVT Transmission, Smart Key, Cruise Control","Dual Power Sliding Doors, LED Daytime Running Lights, Built-In TV, Infotainment System With GPS, BT, Reverse Cam, Multi-Function Steering, Push Start.",Gorgeous New Arrival! Sleek Blue Honda Stepwagon! 7-Seater With Spacious Cabin In The Front And Back! Comes With Dual Power Sliding Doors For Maximum Ease Of Entry And Comfort! Serviced Exclusively At Reputable Workshop! Fantastic Condition With No Repairs Needed! Ideal For All Family Types! Flexible Loan Options And High Trade In Available! Viewing By Appointment Only.,60001,26787,29502,64670,1,MPV,"PARF Car, Premium Ad Car",TRUE
Volvo XC90 T5 2.5T,87800,16280,26-Sep-12,1377,2012,"108,000 km ",Auto,2521,1824,154.0 kW (206 bhp) View specs of the Volvo XC90 (2008-2012),2094,"Smooth And Powerful 2.5L Turbocharged Engine Producing 210Bhp, 5 Speed Automatic Transmission, AWD. Steering/Cruise Control.","Leather Seats, Sports Rims, Factory Fitted Audio System, Electric Seats.",One Owner Only! Elegant Black 7 Seater SUV Is Your Ideal Choice. Well Maintain By Meticulous Owner. Needs No Further Introduction. Accident Free. View To Believe! Flexible Loan And Trade In Welcome. Viewing By Appointment Only.,88500,52299,52299,67503,1,SUV,"PARF Car, Consignment Car",TRUE
Aston Martin V8 Vantage S Coupe,498000,46230,22-Jun-17,3108,2015,"11,000 km ",Auto,4735,5100,320.7 kW (430 bhp),1610,V8 Engine. 4.7 Litres. 420 Horspower. 0 To 100K/Hr In 3.9 Seconds. Handmade In England.,High Specs Model. Bluetooth Compatible ICE. Electronic Seats. New Facelift Centre Console. Paint Protection System By Coatconut. Original Paintwork.,Custom Original Aston Martin Rims. Lowest Depreciation In Market. As Good As New. 100% Accident Free. Full Serviced Records By Aston Martin Singapore. Agent Car. Loan Can Be Arranged. Trade In Welcome. Call To Make Appointment To View. Car In Immaculate Condition.,50526,130912,207642,198810,1,Sports Car,"PARF Car, Rare & Exotic, Premium Ad Car, Low Mileage Car",TRUE
Honda CR-V 2.4A Sunroof,92800,11550,6-Aug-15,2423,2015,"49,000 km ",Auto,2354,1628,140.0 kW (187 bhp) View specs of the Honda CR-V (2012-2017),1574,"2.4L DOHC Engine With I-VTEC Engine, Smooth 5 Speed Auto Transmission, SRS Airbags. ABS, Cruise/Traction Control, Retractable Side Mirrors, Keyless.","Electric Driver Seat, Keyless Entry/Push Start, Navi, Bluetooth, Reverse Cam, Auto Climate Control, HID Headlamps, LED, DRL, Cruise Control, Sunroof.","Agent Maintained An Economical, Extended Warranty Available. Buy It From Us With A Peace Of Mind. A Company Accredited With Outstanding Awards, Professional After Sales Service Assured. Discover The Greatness Of This Car In Our Showroom Now.",58109,28587,32022,62655,1,SUV,"PARF Car, STA Evaluated Car",TRUE
Honda Shuttle 1.5A G,75800,7710,23-Jan-18,3324,2017,"14,000 km",Auto,1496,682,97.0 kW (130 bhp) View specs of the Honda Shuttle (2015),1130,"Premium Leather Seats, Pioneer AVH295BT DVD With Bluetooth And Carplay, Reverse Sensors And Camera, I-Road T9 Front And Back Camera, Cool N Lite.","2018 New Facelift, LED Headlights, Keyless Entry, Smart Key System, Audio Control, Econ Mode, Traction Control, Auto Retractable Side Mirrors.","Direct Owner. 9 Months Old, 14,000Km Mileage. Condition Almost Like New, Female Teacher Driver. Accident Free. 3 Years/ 100,000Km Warranty. Price Already Include All Top Up Accessories (E.G. Premium Leather Seats (Worth $1K), I-Road T9 Record Camera (Worth $500), Cool Lite Solar Film (Worth $500). Reason For Selling: Under-Utilised Of The Car.",36890,20729,11021,41891,1,Stationwagon,"PARF Car, Direct Owner Sale, Almost New Car",TRUE
Infiniti Q30 Diesel 1.5T,95800,10700,22-Dec-16,2928,2016,"46,000 km ",Auto,1461,1148,80.0 kW (107 bhp) View specs of the Infiniti Q30 (2016),1485,1.5 Diesel Turbocharged. 7 Speed DCT. Good Fuel Economy.,"Bluetooth Connectivity, Factory Fitted Audio System, 17"" Rims, Aluminium Sports Pedal.","1 Owner, Fully Maintained And Serviced By Wearnes, Car Is Still Under Warranty. Accident Free.",49751,26987,19782,54774,1,Hatchback,"PARF Car, Direct Owner Sale",TRUE
Lexus NX Turbo NX200t Luxury,139800,15030,29-Apr-16,2690,2016,"42,000 km ",Auto,1998,1210,175.0 kW (234 bhp) View specs of the Lexus NX 300 (2015),1755,"Lexus NX 2.0 Turbo Charged Engine Producing 234bhp Luxury Version, 4 Inline 16 Valve, Dual VVT-iW And D-4ST. AWD. Excellent Damping, Smooth Ride.","360 Surround Camera, Keyless Entry, Lexus Premium Audio, Glass Roof. Auto Park, Navigation, Bluetooth, Wireless Charging, Heated Seats.","Nice Number, High PARF Value, New Road Tax, Price Negotiable, Pleas E Call Owner For Discussion.",47000,47057,57880,78087,2,SUV,"PARF Car, Direct Owner Sale",TRUE
Volvo S60 Diesel D4,88888,11270,15-Dec-15,2556,2015,"60,400 km ",Auto,1969,1864,140.0 kW (187 bhp) View specs of the Volvo S60 Diesel (2013-2017),1615,"Creamy 2 Litre Twin-Turbo Engine With 190bhp And Massive 400nm Of Torque, 0-100km/h In Respectable 7.6 Seconds. Upgraded Grille, Sporty Look!","Cruise Control, Keyless Start/Stop, Bluetooth (Audio/Calls), Electric Power Memory Seat, Sports Pedals, Front And Back Blackvue Camera And Many More.","Agent Serviced Since Day 1, Warranty With Wearnes Until Dec 2 018. Fun And Powerful Car Yet Frugal, Diesel Savings Easily Offsets Road Tax. 19"" Volvo Original Diamond Cut Rims With UHP Tyres. 13Km/L For 90% City Driving, Full Tank 950km. Very Reluctant Sale Due To Growing Family Plus Aging Parents, Downgrading To MPV. No Dealers Please, Price Negotiable. My Loss Your Gain.",59889,27056,19879,56881,2,Luxury Sedan,"PARF Car, Direct Owner Sale",TRUE
Honda Civic 1.6A VTi-S,68000,9980,13-Oct-14,2124,2014,"118,000 km ",Auto,1598,742,92.0 kW (123 bhp) View specs of the Honda Civic (2012-2016),1225,"Honda's 1.6L 125Bhp I-VTEC Engine! Facelifted Model With 5 Speed Auto Transmission, ABS, Climate Control Aircon, Immobilizer, Knockdown Rear Seats.","Facelift Model With Updated Tail Lights, Alpine Sound System, Reverse Parking Sensors, Retractable Side Mirrors, Remote Boot Release.",Schedule A Test Drive Today. Viewing Is Strictly By Appointment Only.,64600,19486,19486,52313,2,Mid-Sized Sedan,"PARF Car, Consignment Car",TRUE
Mercedes-Benz CLA-Class CLA200 AMG Line,90000,15450,10-Jan-14,1852,2013,"59,000 km ",Auto,1595,740,115.0 kW (154 bhp) View specs of the Mercedes-Benz CLA-Class (2013),1430,"1.6L Turbocharged Engine, 7G DCT Auto, Multi Function Steering Control, Keyless Entry And Start, Paddle Shifters, Cruise Control.","DRL/LED Lights, Parktronic, Reverse Camera, Memory Seats, Multi Function Steering Control, Bluetooth, Auto Parking System.",Full C&C Unit. Sports Version With Red Interior Stitching. Still Under Agent Warranty And Servicing! Car's In Extreme Well Maintained Condition By One Careful Lady Owner. 100% Accident Free. Own This Beauty With A Peace Of Mind! Trade In And High Loans Available. Call/Whatsapp Now To Arrange An Appointment For Viewing.,85000,29348,23088,60468,1,Luxury Sedan,"PARF Car, Premium Ad Car",TRUE
Land Rover Range Rover Evoque Prestige 5DR,182000,17260,23-Mar-17,3019,2016,"23,500 km ",Auto,1999,1212,177.0 kW (237 bhp) View specs of the Land Rover Range Rover Evoque (2011),1720,"2.0L, 4 Cylinder Inline 16 Valve DOHC Turbocharged, 9 Spd Auto Transmission, 237BHP, AWD, ABS, SRS Airbags, Multi Steering Control, HDC, Paddle Shift.","19"" Sports Rims, Front/Rear Park Distance Control/Parking Sensors, Touchscreen Interface With Bluetooth & Navigation, Auto Start, Panaromic Sunroof.","1 Owner, Highest Optioned Prestige Model From Wearnes With Full Documented Service History & Agent Warranty Till 2020 & Free Servicing Till 2022. Special Indent Colour Combi, Highest ARF Among All. Lowest Mileage Clocked. Immaculate In & Out. Attractive Loan & Insurance Packages Available. Trade In Welcome. Contact Us For Discussion & Viewing Today!",53001,59061,78310,102600,1,SUV,"PARF Car, Premium Ad Car",TRUE
BMW X1 sDrive18i,119800,12970,6-Jan-17,2943,2016,"26,000 km ",Auto,1499,684,100.0 kW (134 bhp) View specs of the BMW X1 (2015),1430,"Fuel Efficient Twin Power Turbocharged, 7 Sp A Steptronic Trans. Dynamic TC, SRS, All Disc ABS, Elect Brakes, Smark Key, Push Start, Auto Tail Gate.","18"" Alloy Rims, Premium Black Leather Trim, Factory Multi Media, Navigation, Bluetooth, Reverse Camera, LED Day Running Lights, Dynamic Drive Select.",Agent Unit With Agent Warranty! Fully Agent Serviced! Tip Top Condition! Well Maintained By Previous Owner! In House Financing And Trade In Available! Call Now To Enquire!,53106,30895,30253,65538,1,SUV,PARF Car,TRUE
Honda Jazz 1.3A L,39800,8950,20-Apr-12,1221,2009,"92,000 km ",Auto,1339,590,73.0 kW (97 bhp) View specs of the Honda Jazz (2008-2014),1090,"1.3L I-VTEC Engine, 5 Speed Auto Transmission, SRS Airbags, Reverse Sensors, Multi Function Steering Control W/ Paddle Shifters, Knockdown Rear Seats.","Factory Fitted Audio System, Electrical Retractable Side Mirror With Indicator, Door Visor, Sun Shade.","Low Interest Of 1.98% For Limited Period, In House Loan Available Extended Warranty Available! 1 Owner! Extremely Low Fuel Consumption! Low Cost Of Maintenance, Reliable L13 Engine With I-VTEC! A Stylish Hatchback That Simply Tops The Fuel Economy Yet Comes With Spacious Interior For Your Comfort. Buy It From Us With A Peace Of Mind. Professional After Sales Service Assured. Appreciate.",58501,19656,19656,32378,1,Hatchback,PARF Car,TRUE
McLaren 12C,438000,73540,2-Jan-13,1479,2012,"35,154 km ",Auto,3798,3634,441.0 kW (591 bhp) View specs of the McLaren 12C (2011-2017),1514,"3.8L Twin Turbo V8 Engine. BHP: 592, Torque: 600Nm, 0 To 100Km/H In 3.3sec, Top Speed: 329Km/H, 7 Speed Dual Clutch Auto Transmission.","Full Black/Orange Leather Interior In Contrast Orange Stitching. High Carbon Fibre Options, GPS, IRIS System With Bluetooth, USB Input And More.","Single Owner, Agent Unit Mclaren Orange Coupe Maintained In Tip Top Condition. Full Carbon Fibre Options Including Interior Instrument Cluster, Wing Mirror, Rear Diffuser & Aero Wing. Full Black/Orange Leather Interior In Contrast Orange Stitching, MSO Front & Rear Bumper, 19"" Stealth Finish McLaren Rims, Sport Exhaust, GPS & More. Please Call To Arrange A Viewing.",88002,279652,279652,231439,1,Sports Car,"PARF Car, Low Mileage Car",TRUE
Mercedes-Benz C-Class C180 Avantgarde,134800,15710,12-May-16,2703,2016,"40,000 km ",Auto,1595,740,115.0 kW (154 bhp) View specs of the Mercedes-Benz C-Class Saloon (2014-2018),1425,Armed With Mercedes 1.6L Turbocharged Inline Engine Mated To A Smooth 7G-Tronic Transmission To Deliver 154Bhp! 0 To 100Km/H In 8.5s!,"Keyless Access, LED High Performance Headlamps, Reverse Camera, Paddle Shifters, Electric Tailgate, IRoad Recording Dash Cam, 17"" Light Alloy Wheels.","Owner Leaving The Country! C&C Agent Unit! Agent Warranty Valid Till May 2019! Drive In Luxury And Class! Sleek Dakota Brown Exterior Against Cream Leather Interior Upholstery! Classy, Contemporary Looks! Fantastically Maintained And Shelter Parked! Accident Free With Evaluation Welcome! Flexible Loan Options And High Trade In Available! Call Us Today To View! By Appointment Only.",50089,35465,36651,64623,1,Luxury Sedan,"PARF Car, Premium Ad Car",TRUE
Hyundai i45 2.4A,38800,10970,8-Aug-11,965,2011,"165,000 km ",Auto,2359,1634,131.0 kW (175 bhp) View specs of the Hyundai i45 (2010-2014),1497,"DOHC 16V 2.4L Engine, 6 Speed Automatic Transmission, ABS, Airbags, Keyless Entry, Keyless Start/Stop.","Leather Seats, Sports Rims, Factory Fitted Audio System, Retractable Side Mirrors, Multi Function Steering, Fog Lamps, Reverse Sensors And Camera.",One Year Warranty! No Gimmick! 100% Loan Available. Zero Down Payment. Flexible Loan! One Owner With Regular Service Records! Excellent Condition! Well Maintained Exterior And Interior! Always Parked Under Shelter! No Repair Needed! Welcome Trade In! Call Up Now To Arrange For Viewing And Test Drive!,72501,19435,19435,30889,1,Luxury Sedan,PARF Car,TRUE
Honda Vezel 1.5A X,79000,8960,16-Jan-17,2952,2016,"22,000 km ",Auto,1496,682,96.0 kW (128 bhp) View specs of the Honda Vezel (2014),1190,"Fuel Saver 1.5L Earth Dreams Engine, Auto LED Headlights, Electronic Parking Brakes, Auto Brake Hold, Push Start Engine, Reverse Camera.","Auto Headlights And LED DRL, Auto Fold Mirrors, Multi Function Steering, Bluetooth Interface. Pioneer DVD Audio Entertainment System With Camera.",Schedule A Test Drive Today. Viewing Is Strictly By Appointment Only.,50951,22067,12894,50920,1,SUV,"PARF Car, Consignment Car",TRUE
Nissan Teana 3.5A,112000,11980,25-Oct-16,2866,2016,"55,000 km ",Auto,3498,3164,183.0 kW (245 bhp) View specs of the Nissan Teana (2013-2017),1565,"3.5L DOHC V6 Engine, 245 BHP, Automatic Transmission, ABS, Airbags, Cruise Control, Auto Headlights And Rain Sensors, Keyless Entry/Start/Stop.","Keyless Entry, Push Start, Memory Leather Seats, Sports Rims, Built In Audio System With Steering Controls.",Schedule A Test Drive Today. Viewing Is Strictly By Appointment Only.,56089,31063,35489,70750,2,Luxury Sedan,"PARF Car, Consignment Car",TRUE
Honda Stepwagon 2.0A (COE till 05/2021),28800,11680,20-Jun-06,898,2006,"219,000 km ",Auto,1998,1452,114.0 kW (152 bhp),1510,"DOHC I-VTEC K20A Engine, Dual Airbags, 4 Discs Brake With ABS, Digital Odometer Hub Display, 2nd And 3rd Row Aircon, Dual Side Sliding Doors, Airbags.","Leather Seat, Factory Fitted Audio System,DVD Touchscreen. Retractable Side Mirrors.",Luxurious And Spacious SPADA (Highest Spec) 7 Seaters MPV Up For Grabs At An Affordable Price Tag! Smooth And Responsive Engine! Low Fuel Consumption! Low Maintenance Cost! Flexible Bank/In-House Loan Available! Trade In Most Welcome!,23024,26030,28633,11354,2,MPV,COE Car,TRUE
Honda Stream 1.8A (COE till 03/2027),48800,5880,30-Mar-07,3026,2007,"195,000 km ",Auto,1799,1076,103.0 kW (138 bhp) View specs of the Honda Stream,1350,"1.8L 4 Cylinders I-VTEC Engine, ABS, 5 Speed Automatic Transmission, SRS Airbags, Climatic Aircon Control.","Leather Seats, Sports Rims, Touch Screen DVD Player, UV Film, Tinted Windows, Retractable Side Mirrors, Knockdown Rear Seats, Reverse Camera.","New Painting, New Leather Seat, New Headlight, UV Film, Tinted Windows, Etc, Accident Free And Well Maintained! See To Believe!",50347,19689,21658,41767,2,MPV,"COE Car, Direct Owner Sale",TRUE
BMW 7 Series 730Li Sunroof,59000,15050,23-Jul-10,584,2010,"87,000 km ",Auto,2996,2382,190.0 kW (254 bhp) View specs of the BMW 7 Series (2009-2012),1855,"Sunroof, Tinted Glasses.",Polishing Package Till 2019.,"Low Mileage, Good Condition.",41010,69579,69579,44864,2,Luxury Sedan,"PARF Car, Direct Owner Sale",TRUE
Audi A4 2.0A TFSI Quattro S-Line,81888,12900,28-Jun-13,1654,2013,"90,000 km ",Auto,1984,1194,155.0 kW (207 bhp) View specs of the Audi A4 (2005-2007),1645,"Highest Spec Stock A4 2.0 Quattro (B8.5 Model) With 19 Inch Rims, Torsen Differential, Customizable Driving Modes, Navigation, 4-wheel Drive",Michellin PS4 Tyres 3M Solar Film Boot Hangers,Fully Agent Service (Premium Auto) Just Changed Wear And Tear Parts Including Brake Discs Rotors And Pads (Premium Auto) Accident Free,81751,42583,46617,69745,2,Luxury Sedan,"PARF Car, Direct Owner Sale",TRUE
Mercedes-Benz CLA-Class CLA180,96800,12300,16-Oct-15,2492,2015,"50,000 km ",Auto,1595,740,90.0 kW (120 bhp) View specs of the Mercedes-Benz CLA-Class (2013),1430,"Powerful And Responsive 1.6L 4 Cylinders Inline Turbocharged Engine,120 BHP, 7G-DCT Auto Transmission, Paddle Shift, Traction Control, LED Daylight","Cruise Control, Factory Fitted Audio, Bluetooth, Dual Electric Memory Seats, Reverse Camera, Climate Control.","Determine To Sell Red Hot. One Owner, 100% Accident Free, Low Mileage Excellent Condition Inside. Taken Good Care, Agent Warranty Till Oct 2018. Powerful. Responsive & Fuel Efficiency. Most Popular C-CLASS Seen On The Road. This Will Be One Of The Best Unit To Buy. Kindly Call Us Today.",55399,27320,25248,56850,1,Luxury Sedan,"PARF Car, Direct Owner Sale",TRUE
Honda S2000 2.2M (COE till 09/2028),105800,10850,12-Sep-08,3554,2008,"143,000 km ",Manual,2156,1396,178.0 kW (238 bhp) View specs of the Honda S2000 (2000-2009),1250,"AP2 VTEC Engine, Rear-Wheel Drive, 50:50 Chassis Weight Distribution, 6 Speed Manual Transmission.",Most Critical Wear N Tear Items Has Been Changed. Fresh Paint; Fresh Upholstery; Spoon Brake Kit And Many More.,Every Effort Has Been Made To Maintain It Into Its Mint Condition. Nevermind About How Much Mileage It Has Gotten Or The Ownership Transfer. Its About How Much Effort The Current Owner Has Put It To Get It Back To Its Best Condition. Go Check Out All Available Similar Unit To Understand This Unit's Value,33377,38293,38293,32554,5,Sports Car,"COE Car, Direct Owner Sale",TRUE
BMW 2 Series 218i Active Tourer,72888,10530,13-Nov-14,2155,2014,"84,339 km ",Auto,1499,684,100.0 kW (134 bhp) View specs of the BMW 2 Series Active Tourer (2014),1360,"BMW TwinPower Turbo 3 Cylinder Engine With 134Bhp, 220Nm Torque Reliable Safety Features. 6 Speed Transmissions, Front Wheel Drive, Auto Tailgate.","I-Drive System, Bluetooth, Comfort Boot Access, LED Headlights, Front/Rear Sensors, Ambient Console Lighting, Keyless Entry, Cruise Control, Etc.",Recently Done Major Servicing. Parts Replaced All Brand New! Receipts To Prove! Low Down Payment $7k! Perfect For Your Family. Call Now!,70890,27922,21091,57789,2,Hatchback,PARF Car,TRUE
BMW 5 Series 520i,110800,13960,25-Jun-15,2381,2014,"98,000 km ",Auto,1997,1210,135.0 kW (181 bhp) View specs of the BMW 5 Series Sedan (2010-2017),1615,BMW 2.0L Twin Power Turbo Pushing 184bhp And 270Nm. Driving Experience Control - Eco Pro/Comfort/Sports Mode With Individual Digital Dashboard Display,"IDrive, Navi, Bluetooth, PDC, Dual Electric Seats, Drive Experience Control, Auto Tailgate, Auto Headlamps, Comfort Access, Auto Climate Control.",Cheapest In The Market! 1 Owner! Full Agent Record! Very Good Condition! Trade In Welcome! Call Us Now For Viewing And Test Drive Before It's Gone!,71509,37219,39107,76056,1,Luxury Sedan,PARF Car,TRUE
Volvo XC60 T5 2.0A,61000,12630,14-Feb-12,1155,2011,"150,000 km ",Auto,1999,1212,177.0 kW (237 bhp) View specs of the Volvo XC60 (2008-2017),1760,Powerful 2.0L Turbocharged Engine. 237bhp. 6 Speed Automatic Gearbox. ABS.,"Premium Electric Memory Leather Seats, Auto Tailgate, Parking Assist, Retractable Side Mirrors And Auto Headlights. Cruise Control, Bluetooth.",Just Completed Maintenance Servicing On 29/9/2018. All Required Replacement Are Volvo Parts As Recommended. Schedule A Test Drive Today. Viewing Is Strictly By Appointment Only.,74340,41861,41861,50795,3,SUV,"PARF Car, Consignment Car",TRUE
Volkswagen Beetle 1.2A TSI,48800,10230,10-Oct-12,1391,2012,"62,000 km ",Auto,1197,508,77.0 kW (103 bhp) View specs of the Volkswagen Jetta (2011-2017),1222,Fuel Efficient 1.2L TSI Turbo Charge Engine. 7 Speed DGS Auto. Multi Function Steering Control.,"Full Leather Interior. Upgraded 18"" Sports Rims With New Tyres. Reverse Sensors. USB. Rear Original Beetle Spoiler!","Choice Of Colour Available! Fully Agent Maintained. Just Done Major Servicing At 61000Km With Records. Enjoy Extended 2 Years Warranty For Engine And Gear Box By VW! Enjoy New Road Tax Till Mid Next Year. Hassle Free! Flawless Condition. Owner 2nd Car. High OMV. Paper Value Already $40K Plus, Drive With Passion! Trade In And High Loan Available. Please Call For Appointment.",59003,19360,19360,35151,3,Hatchback,PARF Car,TRUE
Mercedes-Benz E-Class E250 CGI,55288,22170,1-Apr-10,473,2009,"107,700 km ",Auto,1796,974,150.0 kW (201 bhp) View specs of the Mercedes-Benz E-Class Saloon (2009-2013),1650,"1.8L 4 Cylinders Inline CGI Blue Efficiency, Turbocharged Engine, 201BHP, Cruise Control, Airbags, ABS, ESP, Auto Headlights.","New Keyless Go, Electric Tailgate, Dual Electric Seats, Auto Headlamps, 6 Discs Changer, Bluetooth Telephony, Reverse Camera, Sports Rims, Park Assist","New Facelift. Well Maintained By Owner. E-Class Blends Perfectly For Business And Leisure. Please Contact, Viewing By Appointment Only. (1 Day In Advance) Venue Should Be Clementi Area.",36089,53000,53000,33837,3,Luxury Sedan,"PARF Car, Premium Ad Car",TRUE
BMW X1 sDrive20i,123800,14410,12-Apr-16,2674,2016,"24,000 km ",Auto,1998,1210,141.0 kW (189 bhp) View specs of the BMW X1 (2015),1485,"Powerful 2.0L Twin Power Turbo Engine, 189Bhp, 8 Speed Auto Transmission, I-Drive, Comfort, Eco-Pro Mode, Dynamic Traction Control.","I-Drive Navigation, Bluetooth, Auto Boot Release, F/Rear Sensors,Reverse Camera, Electric Seats Memory, Keyless Entry, Multifunction Steering Wheel.",Excellent Condition And Well Maintained! Fully Serviced By PML! 3 Years PML Warranty! Accident Free! View To Appreciate!,47000,31681,36354,61724,1,SUV,"PARF Car, Low Mileage Car",TRUE
Peugeot 3008 1.6A Turbo Adventure,39800,8580,19-Mar-12,1190,2011,"118,000 km ",Auto,1598,742,115.0 kW (154 bhp) View specs of the Peugeot 3008 (2010-2014),1480,"Turbocharged Engine, 154BHP, 6 Speed Auto Tiptronic, 6XSRS Airbags, 4XABS Disc Brakes, ESP Traction/Cruise Control, Heads Up Display GPS, Rain Sensors","Panoramic Glass Roof, Genuine Leather, Factory Audio, GPS Navigation Map, Reverse Camera/Sensors, Electric Handbrake, Auto HID Headlights, Solar Films","Guaranteed Accident Free, New $3K Wear&Tear Parts Replaced Receipts Proof, Panoramic Glass Roof, Guaranteed Superb Condition, Beautiful Interior, 80% Loan At 2.28%, Guaranteed Loan For Bad Credit/Ex-Bankruptcy, View After Lunch Till 11PM Daily, Please Call To Arrange Viewing.",52809,23597,23597,32570,3,Stationwagon,PARF Car,TRUE
Toyota Corolla Axio 1.5M G,77500,9070,23-Nov-16,2894,2015,"60,000 km ",Manual,1496,682,80.0 kW (107 bhp),1080,"16 Valves 4 Cylinders VVT-i DOHC Engine, Fuel Consumption At 17.2KM/L, ABS, Dual Airbags, Window Visor With Retractable Mirrors.","Leather Seats, 15"" Sports Rims, Reverse Sensor, Reverse Camera And Solar Films.",One Owner Only! Reliable And Fuel Efficient Sedan. Well Maintained By Owner. Accident Free. View To Believe!,52668,15771,10771,49938,1,Mid-Sized Sedan,"PARF Car, Consignment Car",TRUE
BMW 3 Series 320i Efficient Dynamics,89999,12810,16-Sep-14,2097,2014,"52,000 km ",Auto,1598,742,125.0 kW (167 bhp) View specs of the BMW 3 Series Gran Turismo (2013-2016),1410,"Powered By A 1.6L Four Cylinders Turbocharged Engine, Producing 167BHP. 8 Speed A/T Gearbox, Keyless Engine Start.","Dual In-car Camera, GPS Navigation, Electric/Memory Seats, Factory Sports Rims, Multi-Function Steering, Eco Pro/Sport Mode And Etc.","Limited Period Only Enjoy Loan Interest Rate At 2.28%! Single Owner Unit, 5 Years Or 100K KM Warranty And Free Servicing By PML. Extremely Well Maintained! This Beast Does Not Just Look Beautiful, It's 100% Accident Free. View To Believe! Up To 80% Financing Possible! Trade In Welcome! Call/SMS To Arrange A Viewing Today! Viewing Strictly By Appointment Only!",73010,35998,32398,66364,1,Luxury Sedan,"PARF Car, Premium Ad Car",TRUE
Kia Forte K3 1.6A,68000,9620,20-Apr-15,2316,2014,"32,000 km ",Auto,1591,738,95.3 kW (127 bhp) View specs of the Kia Cerato K3 (2013-2018),1295,"1.6L 4 Cylinder Inline DOHC Dual CVVT, 6 Speed, Airbags, Cruise Control, Audio Control On Steering, Auto Headlights, Day Running Lights, Fog Lights.","Factory Audio System Aux And USB Port, Reverse Camera, Fog Lamps, Multi Zone/Rear Aircon, Auto Headlights, Airbags, ABS With Front Mirror Camera, GPS.",Consignment Unit. Viewing By Appointment Only.,67749,18716,13716,53331,1,Mid-Sized Sedan,"PARF Car, Consignment Car, Low Mileage Car",TRUE
Peugeot 308 1.6A Turbo Allure Glass Roof,40800,9220,4-Apr-12,1206,2011,"83,000 km ",Auto,1598,742,115.0 kW (154 bhp) View specs of the Peugeot 308 (2008-2014),1382,"1.6L 4Cylinders Inline 16 Valve DOHC Twin Scroll Turbocharged Engine, 156Bhp/ 240Nm Torque, 6Speed Tiptronic Auto Transmission. 0 To 100km/h In 8.8s.","6 Airbags, ABS, 17"" Rims, Auto Aircon. Bluetooth. Auto Fog/Light. Cruise Control. Range/Trip Info. Solar Film.",Low Mileage. Very Good Condition! Owner Is Selling Due To Upgrade. Flexible In House Loan And Bank Loan Available. Call Us Now To Arrange Viewing For This Beautiful Unit!,52809,20626,20626,30870,3,Hatchback,"PARF Car, Consignment Car",TRUE
BMW 2 Series 216d Gran Tourer,122000,13600,16-Dec-16,2922,2016,"46,240 km ",Auto,1496,1182,85.0 kW (113 bhp) View specs of the BMW 2 Series Gran Tourer Diesel (2015-2017),1480,"7 Seaters, 8 Airbags, ISOFIX, Lane Departure, Collision Warning, Parking Sensors, Reverse Camera, Auto Start/Stop Engine, Adjustable Rear Seats.","Park Brake Button, Light And Rain Sensors, Electric Tailgate, Navigation, Bluetooth. Brand New Tyres Just Changed In September.",Limited Period Only Enjoy Loan Interest Rate At 2.28%! 5 Years Warranty And Servicing By PML. Well Maintained By Owner. Please Call Or Whatsapp For A Non Obligatory Discussion.,50951,31478,26070,60369,1,MPV,"PARF Car, Premium Ad Car",TRUE
Honda Vezel 1.5A X,69800,8800,25-Apr-16,2686,2015,"36,000 km ",Auto,1496,682,96.0 kW (128 bhp) View specs of the Honda Vezel (2014),1190,"Honda Infamous 1.5L I-VTEC Engine Producing 128Bhp, Keyless Ignition. Electronic Brakes, CTBA, VSC, Cruise Control, ECO Mode, Digital Aircon.","Leather Seas, Sports Rims, Pioneer Player With Steering Controls/USB/Bluetooth, Reverse Camera And Sensors, Fog Lights, Retractable Side Mirrors.","1 Single Owner! Well Groomed And Taken Care Of By Car Loving Owner Who Throw All The Accessories In This Gem, In House/Bank Loan Available With Flexible Interest Rates, Kindly Contact Our Sales Advisor For An Appointment Today To View It's Original! Price Include GST!",47300,19977,9977,42329,1,SUV,PARF Car,TRUE
